Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Kongestien 5,1/86/0/0,4039000,70,320000,2507300,1.8,4513,Ingen
Hundhammer 0,1/88/0/0,38000,100,0,38000,1.8,68,Ingen
Skogbrynet Nr. 5 0,1/90/0/0,0,100,0,0,1.8,0,Ingen
Olav Magnussons Veg 14B,1/91/0/0,7677000,70,640000,4733900,1.8,8521,Ingen
Knausen 0,1/93/0/0,61000,100,0,61000,1.8,109,Ingen
Magnus Barfots Veg 20,1/94/0/0,5365000,70,320000,3435500,1.8,6183,Ingen
Rolia 0,1/95/0/0,0,100,0,0,1.8,0,Ingen
Nordlistien 2,1/96/0/0,4400000,70,320000,2760000,1.8,4968,Ingen
Olav Magnussons Veg 31,1/97/0/0,9793000,70,320000,6535100,1.8,11763,Ingen
Vidsjåvegen 8,1/98/0/0,11521000,70,320000,7744700,1.8,13940,Ingen
Olav Magnussons Veg 23A,1/99/0/0,4612000,70,320000,2908400,1.8,5235,Ingen
Olav Magnussons Veg 20,1/100/0/0,5819000,70,640000,3433300,1.8,6179,Ingen
Olav Magnussons Veg 16,1/103/0/0,4118000,70,320000,2562600,1.8,4612,Ingen
Magnus Barfots Veg 16A,1/104/0/0,4051000,70,320000,2515700,1.8,4528,Ingen
Olav Magnussons Veg 25,1/105/0/0,11160000,70,640000,7172000,1.8,12909,Ingen
Armfeldts Veg 1,1/106/0/1,4026000,100,0,4026000,4.0,16104,Ingen
Armfeldts Veg 1,1/106/0/2,2682000,70,320000,1557400,1.8,2803,Ingen
Armfeldts Veg 1,1/106/0/3,2551000,70,320000,1465700,1.8,2638,Ingen
Armfeldts Veg 1,1/106/0/4,2486000,70,320000,1420200,1.8,2556,Ingen
Armfeldts Veg 1,1/106/0/5,1352000,70,320000,626400,1.8,1127,Ingen
Armfeldts Veg 1,1/106/0/6,3252000,70,320000,1956400,1.8,3521,Ingen
Armfeldts Veg 2A,1/107/0/0,9795000,70,960000,5896500,1.8,10613,Ingen
Lassvebergvegen 13,1/108/0/0,4575000,70,320000,2882500,1.8,5188,Ingen
Olav Magnussons Veg 29,1/109/0/0,6344000,70,320000,4120800,1.8,7417,Ingen
Armfeldts Veg 10,1/110/0/0,4819000,70,320000,3053300,1.8,5495,Ingen
Armfeldts Veg 6A,1/111/0/0,5797000,70,320000,3737900,1.8,6728,Ingen
Armfeldts Veg 4A,1/112/0/1,6545000,70,320000,4261500,1.8,7670,Ingen
Armfeldts Veg 4B,1/112/0/2,8661000,70,320000,5742700,1.8,10336,Ingen
Armfeldts Veg 2C,1/113/0/0,4195000,70,320000,2616500,1.8,4709,Ingen
Olav Magnussons Veg 27,1/114/0/0,5503000,70,640000,3212100,1.8,5781,Ingen
Hundhammervegen 23B,1/115/0/0,5447000,70,640000,3172900,1.8,5711,Ingen
Olav Magnussons Veg 32,1/117/0/0,6128000,70,320000,3969600,1.8,7145,Ingen
Olav Magnussons Veg 21,1/118/0/0,4772000,70,320000,3020400,1.8,5436,Ingen
Olav Magnussons Veg 28,1/119/0/0,4638000,70,640000,2606600,1.8,4691,Ingen
Olav Magnussons Veg 30,1/120/0/0,4893000,70,320000,3105100,1.8,5589,Ingen
Olav Magnussons Veg 26,1/122/0/0,9190000,70,640000,5793000,1.8,10427,Ingen
Malvikvegen 35,1/123/0/0,4400000,70,320000,2760000,1.8,4968,Ingen
Malvikvegen 33,1/124/0/0,4893000,70,320000,3105100,1.8,5589,Ingen
Olav Magnussons Veg 33,1/125/0/0,3034000,70,320000,1803800,1.8,3246,Ingen
Tillegg Til Kvilheim 0,1/130/0/0,44000,100,0,44000,1.8,79,Ingen
Olav Magnussons Veg 38A,1/131/0/0,5132000,70,320000,3272400,1.8,5890,Ingen
Saxe Viks Veg 18B,1/132/0/0,4500000,70,320000,2830000,1.8,5094,Ingen
Saxe Viks Veg 20B,1/133/0/1,2908000,70,320000,1715600,1.8,3088,Ingen
Saxe Viks Veg 20B,1/133/0/2,2908000,70,320000,1715600,1.8,3088,Ingen
Olav Magnussons Veg 36,1/134/0/0,0,100,0,0,1.8,0,Ingen
Hundhammervegen 28,1/135/0/0,660000,70,320000,142000,1.8,255,Ingen
Malvikvegen 182,1/136/0/0,6725000,70,640000,4067500,1.8,7321,Ingen
Lassvebergvegen 29,1/137/0/0,4092000,70,320000,2544400,1.8,4579,Ingen
Malvikvegen 31,1/138/0/0,4772000,70,320000,3020400,1.8,5436,Ingen
Malvikvegen 37,1/139/0/0,3553000,70,320000,2167100,1.8,3900,Ingen
Grim Saxeviks Veg 42B,1/140/0/1,2776000,70,320000,1623200,1.8,2921,Ingen
Grim Saxeviks Veg 42B,1/140/0/2,3275000,70,320000,1972500,1.8,3550,Ingen
Grim Saxeviks Veg 42B,1/140/0/3,2776000,70,320000,1623200,1.8,2921,Ingen
Grim Saxeviks Veg 42B,1/140/0/4,3111000,70,320000,1857700,1.8,3343,Ingen
Grim Saxeviks Veg 42B,1/140/0/5,2776000,70,320000,1623200,1.8,2921,Ingen
Grim Saxeviks Veg 42B,1/140/0/6,3678000,70,320000,2254600,1.8,4058,Ingen
Trafo I 0,1/141/0/0,0,100,0,0,4.0,0,Ingen
Malvikvegen 171,1/142/0/0,5685000,70,640000,3339500,1.8,6011,Ingen
Olav Magnussons Veg 5,1/143/0/0,6301000,70,320000,4090700,1.8,7363,Ingen
Kongestien 10,1/144/0/0,5296000,70,320000,3387200,1.8,6096,Ingen
Olav Magnussons Veg 3,1/146/0/0,4821000,70,320000,3054700,1.8,5498,Ingen
Tillegg Til Sakslihaug 0,1/149/0/0,0,100,0,0,1.8,0,Ingen
Ole Hoels Veg 6,1/151/0/0,3853000,70,320000,2377100,1.8,4278,Ingen
Olav Magnussons Veg 18,1/152/0/0,5662000,70,320000,3643400,1.8,6558,Ingen
Jamthaugvegen 100,1/153/0/0,7951000,70,320000,5245700,1.8,9442,Ingen
Jamthaugvegen 98,1/154/0/0,5819000,70,640000,3433300,1.8,6179,Ingen
Jamthaugvegen 96,1/155/0/0,6870000,70,640000,4169000,1.8,7504,Ingen
Jamthaugvegen 94,1/156/0/0,5249000,70,320000,3354300,1.8,6037,Ingen
Olav Magnussons Veg 51,1/157/0/0,4144000,70,320000,2580800,1.8,4645,Ingen
Olav Magnussons Veg 53,1/158/0/0,3880000,70,320000,2396000,1.8,4312,Ingen
Olav Magnussons Veg 55,1/159/0/0,5319000,70,320000,3403300,1.8,6125,Ingen
Stibakken 2b,1/160/0/0,5572000,70,320000,3580400,1.8,6444,Ingen
Stibakken 10,1/161/0/0,6258000,70,320000,4060600,1.8,7309,Ingen
Saxe Viks Veg 14,1/162/0/0,6193000,70,320000,4015100,1.8,7227,Ingen
Trianglene 0,1/164/0/0,0,100,0,0,1.8,0,Ingen
Krokvegen 0,1/167/0/0,15000,100,0,15000,1.8,27,Ingen
Olav Magnussons Veg 45,1/168/0/0,3772000,70,320000,2320400,1.8,4176,Ingen
Nordlistien 8,1/170/0/0,4400000,70,320000,2760000,1.8,4968,Ingen
Stibakken 8,1/171/0/0,5342000,70,320000,3419400,1.8,6154,Ingen
Jamthaugvegen 49,1/172/0/0,5249000,70,320000,3354300,1.8,6037,Ingen
Stibakken 6,1/173/0/0,6040000,70,320000,3908000,1.8,7034,Ingen
Markavegen Ii 0,1/174/0/0,0,100,0,0,1.8,0,Ingen
Olav Magnussons Veg 1,1/175/0/0,4550000,70,320000,2865000,1.8,5157,Ingen
Saxe Viks Veg 16,1/176/0/0,4349000,70,320000,2724300,1.8,4903,Ingen
Magnus Barfots Veg 14A,1/177/0/0,4239000,70,320000,2647300,1.8,4765,Ingen
Haugen 0,1/178/0/0,0,100,0,0,1.8,0,Ingen
Magnus Barfots Veg 14B,1/179/0/0,4993000,70,320000,3175100,1.8,5715,Ingen
Ole Hoels Veg 5,1/180/0/0,4375000,70,320000,2742500,1.8,4936,Ingen
Magnus Barfots Veg 28,1/181/0/0,5013000,70,320000,3189100,1.8,5740,Ingen
Magnus Barfots Veg 18,1/182/0/0,4273000,70,320000,2671100,1.8,4807,Ingen
Malvikvegen 177,1/183/0/0,4699000,70,320000,2969300,1.8,5344,Ingen
Ole Hoels Veg 4,1/184/0/0,4525000,70,320000,2847500,1.8,5125,Ingen
Olav Magnussons Veg 22,1/185/0/0,5202000,70,320000,3321400,1.8,5978,Ingen
Olav Magnussons Veg 59,1/186/0/0,7096000,70,320000,4647200,1.8,8364,Ingen
Olav Magnussons Veg 65,1/187/0/0,6280000,70,320000,4076000,1.8,7336,Ingen
Olav Magnussons Veg 61,1/188/0/0,6246000,70,640000,3732200,1.8,6717,Ingen
Saksviklia 67,1/189/0/0,5480000,70,320000,3516000,1.8,6328,Ingen
Armfeldts Veg 7,1/190/0/0,5819000,70,320000,3753300,1.8,6755,Ingen
Olav Magnussons Veg 57,1/191/0/0,5594000,70,640000,3275800,1.8,5896,Ingen
Sigrid Saxedatters Veg 17,1/192/0/0,5365000,70,320000,3435500,1.8,6183,Ingen
Sigrid Saxedatters Veg 15,1/193/0/0,5435000,70,320000,3484500,1.8,6272,Ingen
Sigrid Saxedatters Veg 13,1/194/0/0,5594000,70,320000,3595800,1.8,6472,Ingen
Tillegg Til Solbu 0,1/195/0/0,0,100,0,0,1.8,0,Ingen
Jamthaugvegen 51,1/196/0/1,2947000,70,320000,1742900,1.8,3137,Ingen
Jamthaugvegen 51,1/196/0/2,4379000,70,320000,2745300,1.8,4941,Ingen
Saxe Østre 0,1/197/0/0,0,100,0,0,1.8,0,Ingen
Kongestien 4,1/198/0/0,4550000,70,640000,2545000,1.8,4581,Ingen
Bergheimkanten 0,1/200/0/0,0,100,0,0,1.8,0,Ingen
Olav Magnussons Veg 63,1/201/0/0,5249000,70,320000,3354300,1.8,6037,Ingen
Jamthaugvegen 47,1/202/0/0,6493000,70,320000,4225100,1.8,7605,Ingen
Armfeldts Veg 6B,1/203/0/0,3986000,70,320000,2470200,1.8,4446,Ingen
Malvikvegen 175,1/205/0/0,4013000,70,320000,2489100,1.8,4480,Ingen
Sakslundvegen 6A,1/206/0/0,5342000,70,320000,3419400,1.8,6154,Ingen
Malvikvegen 61,1/207/0/0,5842000,70,640000,3449400,1.8,6208,Ingen
Olav Magnussons Veg 47B,1/208/0/0,3290000,70,320000,1983000,1.8,3569,Ingen
Olav Magnussons Veg 49A,1/209/0/0,5949000,70,320000,3844300,1.8,6919,Ingen
Armfeldts Veg 2D,1/210/0/0,4625000,70,320000,2917500,1.8,5251,Ingen
Stibakken 4,1/212/0/0,6106000,70,320000,3954200,1.8,7117,Ingen
Tillegg Til Sollia 0,1/214/0/0,0,100,0,0,1.8,0,Ingen
Olav Magnussons Veg 52,1/215/0/0,7677000,70,320000,5053900,1.8,9097,Ingen
Olav Magnussons Veg 41,1/216/0/0,5594000,70,320000,3595800,1.8,6472,Ingen
Hundhammervegen 25,1/220/0/0,5108000,70,320000,3255600,1.8,5860,Ingen
Tillegg Ii Til Vesletun 0,1/221/0/0,0,100,0,0,1.8,0,Ingen
Olav Magnussons Veg 14C,1/222/0/0,7198000,70,640000,4398600,1.8,7917,Ingen
Magnus Barfots Veg 12C,1/223/0/0,6344000,70,640000,3800800,1.8,6841,Ingen
Olav Magnussons Veg 37,1/224/0/0,5108000,70,320000,3255600,1.8,5860,Ingen
Magnus Barfots Veg 20A,1/226/0/0,5412000,70,320000,3468400,1.8,6243,Ingen
Magnus Barfots Veg 12A,1/227/0/0,4845000,70,320000,3071500,1.8,5528,Ingen
Magnus Barfots Veg 12D,1/228/0/1,5410000,70,320000,3467000,1.8,6240,Ingen
Magnus Barfots Veg 12B,1/228/0/2,5988000,70,320000,3871600,1.8,6968,Ingen
Magnus Barfots Veg 12,1/229/0/0,6215000,70,320000,4030500,1.8,7254,Ingen
Magnus Barfots Veg 10,1/230/0/0,4650000,70,320000,2935000,1.8,5283,Ingen
Magnus Barfots Veg 8,1/231/0/0,5179000,70,320000,3305300,1.8,5949,Ingen
Magnus Barfots Veg 6,1/232/0/0,5249000,70,640000,3034300,1.8,5461,Ingen
Magnus Barfots Veg 4,1/233/0/0,5900000,70,640000,3490000,1.8,6282,Ingen
Magnus Barfots Veg 2,1/234/0/0,4600000,70,320000,2900000,1.8,5220,Ingen
Magnus Barfots Veg 10B,1/235/0/0,6255000,70,320000,4058500,1.8,7305,Ingen
Olav Magnussons Veg 14A,1/240/0/0,8625000,70,320000,5717500,1.8,10291,Ingen
Olav Magnussons Veg 23C,1/241/0/0,4625000,70,320000,2917500,1.8,5251,Ingen
Olav Magnussons Veg 39,1/242/0/0,4965000,70,320000,3155500,1.8,5679,Ingen
Olav Magnussons Veg 46,1/244/0/0,4375000,70,320000,2742500,1.8,4936,Ingen
Sakslundvegen 13B,1/245/0/0,3473000,70,320000,2111100,1.8,3799,Ingen
Sakslundvegen 13A,1/246/0/0,3424000,70,320000,2076800,1.8,3738,Ingen
Sakslundvegen 11B,1/247/0/0,3766000,70,320000,2316200,1.8,4169,Ingen
Sakslundvegen 11A,1/248/0/0,4051000,70,320000,2515700,1.8,4528,Ingen
Sakslundvegen 9B,1/249/0/0,3940000,70,320000,2438000,1.8,4388,Ingen
Sakslundvegen 9A,1/250/0/0,3391000,70,320000,2053700,1.8,3696,Ingen
Sakslundvegen 7B,1/251/0/0,3630000,70,320000,2221000,1.8,3997,Ingen
Sakslundvegen 7A,1/252/0/0,3391000,70,320000,2053700,1.8,3696,Ingen
Sakslundvegen 5B,1/253/0/0,3391000,70,320000,2053700,1.8,3696,Ingen
Sakslundvegen 5A,1/254/0/0,3552000,70,320000,2166400,1.8,3899,Ingen
Sakslundvegen 3B,1/255/0/0,3273000,70,320000,1971100,1.8,3547,Ingen
Sakslundvegen 3A,1/256/0/0,3391000,70,320000,2053700,1.8,3696,Ingen
Nordlistien 6,1/257/0/0,6472000,70,640000,3890400,1.8,7002,Ingen
Trafokiosk 0,1/259/0/0,0,100,0,0,4.0,0,Ingen
Magnus Barfots Veg 16B,1/260/0/0,4291000,70,320000,2683700,1.8,4830,Ingen
Armfeldts Veg 13,1/261/0/0,4170000,70,320000,2599000,1.8,4678,Ingen
Tillegg Til Knausen 0,1/262/0/0,105000,100,0,105000,1.8,189,Ingen
Åslyvegen 5,1/264/0/0,7231000,70,320000,4741700,1.8,8535,Ingen
Magnus Barfots Veg 18A,1/266/0/0,4699000,70,320000,2969300,1.8,5344,Ingen
Tillegg Til Rolia 0,1/267/0/0,0,100,0,0,1.8,0,Ingen
Nedre Stibakken 14,1/268/0/0,7775000,70,320000,5122500,1.8,9220,Ingen
Nedre Stibakken 7,1/269/0/0,5013000,70,640000,2869100,1.8,5164,Ingen
Nedre Stibakken 3,1/270/0/0,5037000,70,640000,2885900,1.8,5194,Ingen
Johan Ellingsens Veg 10,1/271/0/0,6171000,70,320000,3999700,1.8,7199,Ingen
Nedre Stibakken 5,1/272/0/0,5013000,70,320000,3189100,1.8,5740,Ingen
Nedre Stibakken 9,1/274/0/0,7198000,70,320000,4718600,1.8,8493,Ingen
Nedre Stibakken 11B,1/275/0/0,3706000,70,320000,2274200,1.8,4093,Ingen
Nedre Stibakken 15,1/276/0/0,5707000,70,320000,3674900,1.8,6614,Ingen
Sakslundvegen 18,1/277/0/0,4893000,70,320000,3105100,1.8,5589,Ingen
Nedre Stibakken 13,1/278/0/0,5819000,70,320000,3753300,1.8,6755,Ingen
Sakslundvegen 14,1/282/0/0,5132000,70,320000,3272400,1.8,5890,Ingen
Jervstien 6,1/286/0/0,5202000,70,320000,3321400,1.8,5978,Ingen
Sakslundvegen 16,1/287/0/0,5085000,70,320000,3239500,1.8,5831,Ingen
"Felles Garasjepl. Sakslundv.14, 0",1/288/0/0,228000,100,0,228000,1.8,410,Ingen
Jervstien 1,1/289/0/0,7178000,70,640000,4384600,1.8,7892,Ingen
Kongestien 2,1/291/0/0,4797000,70,320000,3037900,1.8,5468,Ingen
Bjørkly Ii 0,1/295/0/0,0,100,0,0,1.8,0,Ingen
Nedre Stibakken 11A,1/296/0/0,3646000,70,320000,2232200,1.8,4017,Ingen
Tillegg Til Røsthaug 0,1/297/0/0,48000,100,0,48000,1.8,86,Ingen
Olav Magnussons Veg 50,1/298/0/0,6128000,70,320000,3969600,1.8,7145,Ingen
Lassvebergvegen 13B,1/299/0/0,5819000,70,320000,3753300,1.8,6755,Ingen
Sakslundvegen 2,1/300/0/0,6365000,70,640000,3815500,1.8,6867,Ingen
Sakslundvegen 4,1/301/0/0,7096000,70,640000,4327200,1.8,7788,Ingen
Sakslundvegen 12,1/302/0/0,6171000,70,320000,3999700,1.8,7199,Ingen
Sakslundvegen 10,1/303/0/0,5202000,70,320000,3321400,1.8,5978,Ingen
Sakslundvegen 8,1/304/0/0,5365000,70,320000,3435500,1.8,6183,Ingen
Olav Magnussons Veg 38B,1/307/0/0,3221000,70,320000,1934700,1.8,3482,Ingen
N.S.B. Parsell 1 0,1/308/0/0,0,100,0,0,1.8,0,Ingen
Saxe Viks Veg 62,1/309/0/0,584000,70,320000,88800,1.8,159,Ingen
Hundhammervegen 24,1/310/0/0,3718000,70,320000,2282600,1.8,4108,Ingen
Hundhammervegen 15,1/311/0/0,4092000,70,320000,2544400,1.8,4579,Ingen
Kongestien 6,1/312/0/0,6258000,70,320000,4060600,1.8,7309,Ingen
Sakslundvegen 19,1/314/0/0,37000,100,0,37000,1.8,66,Ingen
Sakslundvegen 30,1/315/0/0,8298000,70,320000,5488600,1.8,9879,Ingen
Saxe Viks Veg 66,1/316/0/0,536000,70,320000,55200,1.8,99,Ingen
Grim Saxeviks Veg 2,1/317/0/0,3897000,70,320000,2407900,1.8,4334,Ingen
Grim Saxeviks Veg 4,1/318/0/0,3521000,70,320000,2144700,1.8,3860,Ingen
Grim Saxeviks Veg 6,1/319/0/0,3521000,70,320000,2144700,1.8,3860,Ingen
Grim Saxeviks Veg 8,1/320/0/0,3781000,70,320000,2326700,1.8,4188,Ingen
Grim Saxeviks Veg 10,1/321/0/0,3599000,70,320000,2199300,1.8,3958,Ingen
Grim Saxeviks Veg 12,1/322/0/0,3473000,70,320000,2111100,1.8,3799,Ingen
Grim Saxeviks Veg 14,1/323/0/0,3897000,70,320000,2407900,1.8,4334,Ingen
Grim Saxeviks Veg 16,1/324/0/0,3736000,70,320000,2295200,1.8,4131,Ingen
Grim Saxeviks Veg 18,1/325/0/0,3221000,70,320000,1934700,1.8,3482,Ingen
Grim Saxeviks Veg 20,1/326/0/0,3825000,70,320000,2357500,1.8,4243,Ingen
Grim Saxeviks Veg 22,1/327/0/0,3996000,70,320000,2477200,1.8,4458,Ingen
Grim Saxeviks Veg 24,1/328/0/0,3796000,70,320000,2337200,1.8,4206,Ingen
Grim Saxeviks Veg 26,1/329/0/0,3736000,70,320000,2295200,1.8,4131,Ingen
